yaxcatd (C:\Program Files\Tableau\Tableau 2021.1\bin\yaxcat\yaxcatd.exe) built at dc7ad89 listening on 127.0.0.1:55279 with 8 worker threads.
2021-04-27T16:03:50+0530 1.095ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_HDDA66H4JQCUGM4TTQGUVMGO
2021-04-27T16:03:50+0530 1.519ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.083ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.934ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.200ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.136ms; [no ensemble]::delete_data: dt_HDDA66H4JQCUGM4TTQGUVMGO, deleted = yes
2021-04-27T16:03:50+0530 1.096ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_CHK7IFXXSWIN2GD5YJIKSSFI
2021-04-27T16:03:50+0530 54.878ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 3696x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 73.882ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 3696x1 targets, 3696x1 givens
2021-04-27T16:03:50+0530 1.070ms; [no ensemble]::delete_data: dt_CHK7IFXXSWIN2GD5YJIKSSFI, deleted = yes
2021-04-27T16:03:50+0530 1.126ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_MZSTRUK72ASZIPSBZTT323PF
2021-04-27T16:03:50+0530 2.260ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.082ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 2.950ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.084ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.126ms; [no ensemble]::delete_data: dt_MZSTRUK72ASZIPSBZTT323PF, deleted = yes
2021-04-27T16:03:50+0530 0.745ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_FQUI6IPITO24GNLKP2VIMENN
2021-04-27T16:03:50+0530 0.947ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 64x1 targets, 1x0 givens
2021-04-27T16:03:50+0530 21.536ms; RemoteEnsemble(16 models, 2 columns)::logpdf_given_values: 64x1 targets, 64x1 givens
2021-04-27T16:03:50+0530 0.101ms; [no ensemble]::delete_data: dt_FQUI6IPITO24GNLKP2VIMENN, deleted = yes
2021-04-27T16:03:50+0530 1.027ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 127x2, dt_RXGXHT22JACAFRWOPL4GYROE
2021-04-27T16:03:50+0530 1.404ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x0
2021-04-27T16:03:50+0530 0.065ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x0
2021-04-27T16:03:50+0530 3.790ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: mean of column 0 given 1x1
2021-04-27T16:03:50+0530 0.087ms; RemoteEnsemble(16 models, 2 columns)::univariate_stat: variance of column 0 given 1x1
2021-04-27T16:03:50+0530 0.130ms; [no ensemble]::delete_data: dt_RXGXHT22JACAFRWOPL4GYROE, deleted = yes
2021-04-27T16:03:50+0530 1.062ms; RemoteEnsemble(16 models, 2 columns)::upload_data: 795x2, dt_J7DAIF2SLLBUYWVKSBM5MTRC
